,neighbourhood,latitude,longitude,room_type,price
23219,Frederiksberg,55.67374,12.50696,Entire home/apt,903
23220,Frederiksberg,55.67411,12.50606,Entire home/apt,901
23221,Valby,55.65514,12.51205,Entire home/apt,403
23222,Bispebjerg,55.70011,12.53574,Entire home/apt,693
23223,Amager st,55.66277,12.61006,Entire home/apt,348
23224,Bispebjerg,55.7028,12.52669,Entire home/apt,1201
23225,Vanlse,55.69235,12.49381,Entire home/apt,489
23226,Brnshj-Husum,55.70396,12.50508,Entire home/apt,600
23227,sterbro,55.70812,12.5656,Entire home/apt,703
23228,Bispebjerg,55.71072,12.52978,Entire home/apt,498
23229,Frederiksberg,55.68664,12.54154,Entire home/apt,1399
23230,Bispebjerg,55.71236,12.53736,Private room,502
23231,Indre By,55.68886,12.57205,Entire home/apt,998
23232,Brnshj-Husum,55.71595,12.46077,Entire home/apt,502
23233,Nrrebro,55.68815,12.54405,Entire home/apt,747
23234,Frederiksberg,55.67883000000001,12.50461,Entire home/apt,798
23235,Bispebjerg,55.70599,12.53389,Private room,299
23236,Nrrebro,55.69564,12.53905,Entire home/apt,496
23237,Valby,55.65729,12.51068,Entire home/apt,1501
23238,Amager Vest,55.66488,12.59706,Entire home/apt,849
23239,Vesterbro-Kongens Enghave,55.66824,12.55542,Entire home/apt,798
23240,sterbro,55.69804,12.58211,Private room,409
23241,sterbro,55.69861,12.58541,Entire home/apt,703
23242,Indre By,55.67594,12.59186,Entire home/apt,1303
23243,Indre By,55.68129,12.57422,Entire home/apt,1501
23244,sterbro,55.70992,12.56165,Entire home/apt,801
23245,Valby,55.66882,12.48825,Private room,382
23246,Amager Vest,55.64908000000001,12.61192,Private room,448
23247,sterbro,55.69796,12.58144,Entire home/apt,1801
23248,Amager st,55.65893000000001,12.60745,Private room,300
23249,Vesterbro-Kongens Enghave,55.66876,12.53893,Entire home/apt,1460
23250,sterbro,55.7051,12.58566,Entire home/apt,693
23251,Vesterbro-Kongens Enghave,55.66656999999999,12.53899,Entire home/apt,1501
23252,Nrrebro,55.6911,12.56366,Private room,299
23253,Frederiksberg,55.68621,12.53212,Entire home/apt,862
23254,Vesterbro-Kongens Enghave,55.66868,12.54525,Entire home/apt,849
23255,Bispebjerg,55.70681999999999,12.53189,Private room,464
23256,Nrrebro,55.68691999999999,12.55593,Entire home/apt,502
23257,Vesterbro-Kongens Enghave,55.67125,12.55537,Entire home/apt,573
23258,Indre By,55.67462,12.57459,Entire home/apt,2499
23259,Indre By,55.68396,12.57152,Entire home/apt,998
23260,sterbro,55.70913,12.56781,Entire home/apt,951
23261,Indre By,55.68601999999999,12.56825,Entire home/apt,2498
23262,Indre By,55.67169000000001,12.58621,Entire home/apt,652
23263,Vesterbro-Kongens Enghave,55.67035,12.55169,Entire home/apt,1100
23264,Indre By,55.68341,12.56266,Entire home/apt,853
23265,sterbro,55.71499,12.56808,Entire home/apt,901
23266,sterbro,55.70717,12.58341,Entire home/apt,747
23267,Vesterbro-Kongens Enghave,55.65009000000001,12.53873,Entire home/apt,498
23268,Amager Vest,55.61656,12.56819,Private room,346
23269,Indre By,55.68148000000001,12.57998,Entire home/apt,2200
23270,Amager Vest,55.6642,12.60008,Entire home/apt,600
