,neighbourhood,latitude,longitude,room_type,price
0,Nrrebro,55.68798,12.54571,Private room,373
1,Indre By,55.69163,12.57459,Entire home/apt,2397
2,Indre By,55.6759,12.57698,Entire home/apt,3103
3,Vesterbro-Kongens Enghave,55.67069,12.5543,Entire home/apt,801
4,sterbro,55.69375,12.56945,Entire home/apt,862
5,Vesterbro-Kongens Enghave,55.66744,12.55516,Entire home/apt,747
6,Vesterbro-Kongens Enghave,55.67296999999999,12.55327,Entire home/apt,1086
7,sterbro,55.71158000000001,12.56879,Entire home/apt,591
8,Indre By,55.68572,12.56749,Entire home/apt,1786
9,Frederiksberg,55.67628000000001,12.53801,Entire home/apt,747
10,Indre By,55.68946,12.57088,Private room,353
11,Vesterbro-Kongens Enghave,55.66861,12.5521,Entire home/apt,679
12,Nrrebro,55.68363000000001,12.55572,Entire home/apt,577
13,Vesterbro-Kongens Enghave,55.66781999999999,12.54843,Entire home/apt,917
14,Nrrebro,55.70491,12.55331,Private room,448
15,Frederiksberg,55.67939000000001,12.55055,Entire home/apt,1215
16,Vesterbro-Kongens Enghave,55.66863000000001,12.55255,Entire home/apt,652
17,Indre By,55.6839,12.56727,Entire home/apt,1236
18,Nrrebro,55.69866,12.538,Entire home/apt,801
19,sterbro,55.70568000000001,12.58685,Entire home/apt,951
20,Frederiksberg,55.68068,12.54581,Entire home/apt,1494
21,Frederiksberg,55.67757,12.55608,Entire home/apt,1501
22,Indre By,55.68409000000001,12.5629,Entire home/apt,1840
23,Nrrebro,55.69132,12.5575,Entire home/apt,1949
24,Indre By,55.688930000000006,12.56633,Entire home/apt,1344
25,Vesterbro-Kongens Enghave,55.67059,12.55468,Entire home/apt,822
26,Nrrebro,55.69378,12.54204,Entire home/apt,747
27,Vesterbro-Kongens Enghave,55.66476,12.54449,Private room,502
28,Indre By,55.67328000000001,12.59116,Entire home/apt,1711
29,Bispebjerg,55.69973,12.5367,Entire home/apt,448
30,Amager st,55.66252,12.61507,Entire home/apt,502
31,Frederiksberg,55.68765,12.53291,Entire home/apt,550
32,Vesterbro-Kongens Enghave,55.66723,12.54547,Entire home/apt,319
33,Nrrebro,55.69003000000001,12.54109,Entire home/apt,883
34,Vesterbro-Kongens Enghave,55.66395,12.54902,Entire home/apt,998
35,Nrrebro,55.69842,12.5506,Entire home/apt,577
36,Indre By,55.68068,12.56572,Entire home/apt,598
37,Vesterbro-Kongens Enghave,55.67003,12.54896,Entire home/apt,713
38,Vesterbro-Kongens Enghave,55.66479,12.5453,Private room,448
39,Vesterbro-Kongens Enghave,55.66933,12.54838,Private room,998
40,Nrrebro,55.70001,12.54819,Entire home/apt,1195
41,Indre By,55.67055,12.59397,Entire home/apt,1501
42,Amager st,55.65651999999999,12.61037,Entire home/apt,801
43,Vesterbro-Kongens Enghave,55.67023,12.54808,Private room,469
44,Indre By,55.68377,12.56302,Entire home/apt,998
45,Nrrebro,55.69031999999999,12.56167,Entire home/apt,1833
46,Indre By,55.6821,12.59445,Entire home/apt,1249
47,Nrrebro,55.69044,12.56129,Entire home/apt,1501
48,Vesterbro-Kongens Enghave,55.66886,12.55591,Entire home/apt,978
49,Nrrebro,55.69218000000001,12.5675,Entire home/apt,679
50,Nrrebro,55.68955,12.56124,Entire home/apt,740
51,Indre By,55.680580000000006,12.57477,Entire home/apt,951
52,Frederiksberg,55.67549,12.55265,Entire home/apt,862
53,Nrrebro,55.6974,12.54019,Entire home/apt,652
54,Nrrebro,55.70635,12.55665,Private room,387
55,Amager Vest,55.66271999999999,12.59515,Private room,441
56,Nrrebro,55.69033,12.56241,Entire home/apt,1195
57,Valby,55.66433000000001,12.4864,Entire home/apt,794
58,Vesterbro-Kongens Enghave,55.6672,12.557,Entire home/apt,672
59,Valby,55.65701,12.48066,Entire home/apt,747
60,Vesterbro-Kongens Enghave,55.64608000000001,12.52721,Private room,251
61,Frederiksberg,55.68765,12.52779,Entire home/apt,937
62,Nrrebro,55.69211,12.55892,Entire home/apt,699
63,Frederiksberg,55.67425,12.55198,Entire home/apt,1120
64,Nrrebro,55.69042,12.56096,Entire home/apt,1487
65,Nrrebro,55.69004,12.54424,Entire home/apt,815
66,Amager st,55.66118,12.60474,Shared room,2261
67,Nrrebro,55.6946,12.55128,Entire home/apt,1249
68,Indre By,55.68234,12.56497,Private room,788
69,Nrrebro,55.69628,12.55069,Entire home/apt,441
70,Vesterbro-Kongens Enghave,55.6701,12.54216,Entire home/apt,883
71,Nrrebro,55.69862,12.55194,Entire home/apt,502
72,Nrrebro,55.69736,12.54761,Entire home/apt,564
73,Vesterbro-Kongens Enghave,55.6714,12.55741,Entire home/apt,1501
74,Amager Vest,55.66456,12.59676,Entire home/apt,747
75,Amager st,55.66412,12.60994,Entire home/apt,631
76,Nrrebro,55.69341,12.54452,Entire home/apt,849
77,Vesterbro-Kongens Enghave,55.66648000000001,12.55368,Entire home/apt,699
78,Vesterbro-Kongens Enghave,55.67068,12.5441,Entire home/apt,1324
79,Indre By,55.68431,12.56436,Entire home/apt,3402
80,Valby,55.66563000000001,12.50449,Entire home/apt,849
81,Brnshj-Husum,55.70018,12.50138,Entire home/apt,665
82,Nrrebro,55.69268,12.55486,Private room,380
83,Vesterbro-Kongens Enghave,55.67033000000001,12.55015,Entire home/apt,747
84,Indre By,55.68691999999999,12.59136,Private room,679
85,Nrrebro,55.68849,12.56033,Entire home/apt,849
86,Frederiksberg,55.67452,12.5169,Private room,448
87,Indre By,55.67555,12.59908,Entire home/apt,822
88,Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,360
89,Indre By,55.68093,12.55944,Entire home/apt,1161
90,Vesterbro-Kongens Enghave,55.6692,12.55777,Entire home/apt,998
91,Vesterbro-Kongens Enghave,55.67139,12.55342,Entire home/apt,801
92,Nrrebro,55.69238000000001,12.54775,Entire home/apt,557
93,Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,401
94,Vesterbro-Kongens Enghave,55.67162,12.54726,Entire home/apt,1453
95,Amager Vest,55.63446999999999,12.58868,Private room,387
96,Vesterbro-Kongens Enghave,55.6711,12.54539,Entire home/apt,448
97,Indre By,55.6802,12.57305,Entire home/apt,951
98,Frederiksberg,55.6773,12.5469,Entire home/apt,1718
99,Amager st,55.66696999999999,12.60166,Private room,496
100,Indre By,55.68632,12.58063,Entire home/apt,998
101,Nrrebro,55.6879,12.54608,Entire home/apt,1501
102,Vesterbro-Kongens Enghave,55.65015,12.55016,Entire home/apt,611
103,Nrrebro,55.69284,12.54076,Entire home/apt,1141
104,Frederiksberg,55.68083000000001,12.53672,Entire home/apt,747
105,Amager Vest,55.66582,12.59675,Entire home/apt,998
106,Nrrebro,55.70001,12.54819,Private room,652
107,Nrrebro,55.68922,12.55646,Entire home/apt,536
108,Amager st,55.66562,12.61679,Private room,258
109,Frederiksberg,55.68424,12.55468,Private room,482
110,Frederiksberg,55.68733,12.53734,Entire home/apt,693
111,Nrrebro,55.691,12.54495,Entire home/apt,747
112,Nrrebro,55.70056,12.54628,Entire home/apt,652
113,Amager Vest,55.64119,12.60461,Entire home/apt,944
114,Amager Vest,55.66311999999999,12.59964,Entire home/apt,550
115,Nrrebro,55.69557,12.55026,Entire home/apt,1052
116,Valby,55.66789,12.49982,Private room,251
117,Amager st,55.64451999999999,12.62207,Entire home/apt,1793
118,Nrrebro,55.70101999999999,12.54453,Entire home/apt,645
119,Indre By,55.69731,12.59001,Entire home/apt,598
120,Valby,55.64964000000001,12.49823,Entire home/apt,1901
121,Vesterbro-Kongens Enghave,55.66765,12.54689,Entire home/apt,550
122,Nrrebro,55.68779,12.56324,Entire home/apt,998
123,sterbro,55.70025,12.58499,Entire home/apt,550
124,Vesterbro-Kongens Enghave,55.66642,12.55818,Entire home/apt,1799
125,Nrrebro,55.687,12.55924,Entire home/apt,625
126,sterbro,55.71083,12.55696,Entire home/apt,1419
127,Nrrebro,55.69323000000001,12.54288,Entire home/apt,699
128,Vesterbro-Kongens Enghave,55.666030000000006,12.55609,Entire home/apt,801
129,Indre By,55.68616,12.58701,Entire home/apt,598
130,Vesterbro-Kongens Enghave,55.66595,12.55637,Private room,713
131,Frederiksberg,55.68013000000001,12.52179,Entire home/apt,815
132,Nrrebro,55.69649,12.5475,Entire home/apt,890
133,sterbro,55.70936999999999,12.5788,Entire home/apt,1202
134,Nrrebro,55.69873000000001,12.55127,Entire home/apt,448
135,Indre By,55.68611,12.58965,Entire home/apt,1501
136,Indre By,55.6819,12.57419,Entire home/apt,788
137,Nrrebro,55.69119,12.55959,Entire home/apt,550
138,Nrrebro,55.69463,12.5435,Entire home/apt,1073
139,Vesterbro-Kongens Enghave,55.66555,12.54947,Entire home/apt,672
140,Valby,55.66392,12.51909,Entire home/apt,788
141,Nrrebro,55.68995,12.55824,Entire home/apt,1249
142,Nrrebro,55.69263,12.5629,Entire home/apt,849
143,sterbro,55.70276,12.58831,Entire home/apt,1501
144,Nrrebro,55.70381,12.54826,Entire home/apt,1867
145,Frederiksberg,55.6706,12.53718,Entire home/apt,1019
146,Vesterbro-Kongens Enghave,55.6476,12.548,Entire home/apt,2234
147,Nrrebro,55.68759,12.55931,Entire home/apt,998
148,sterbro,55.71466,12.57367,Entire home/apt,1602
149,Nrrebro,55.69926,12.53727,Entire home/apt,699
150,sterbro,55.70975,12.577,Private room,598
151,sterbro,55.70636999999999,12.58015,Private room,401
152,Indre By,55.6836,12.5652,Entire home/apt,998
153,Frederiksberg,55.68169,12.53521,Entire home/apt,1765
154,Vesterbro-Kongens Enghave,55.6674,12.55082,Entire home/apt,808
155,Frederiksberg,55.67759,12.53909,Entire home/apt,1297
156,Nrrebro,55.69282,12.54624,Entire home/apt,557
157,Vanlse,55.69152,12.51346,Entire home/apt,1012
158,Vesterbro-Kongens Enghave,55.66664,12.55707,Entire home/apt,815
159,Indre By,55.6773,12.57464,Entire home/apt,1297
160,Vesterbro-Kongens Enghave,55.6675,12.54696,Entire home/apt,862
161,Vesterbro-Kongens Enghave,55.66984,12.54866,Entire home/apt,652
162,sterbro,55.70427,12.58584,Entire home/apt,394
163,sterbro,55.71408,12.57143,Entire home/apt,822
164,Nrrebro,55.69226,12.56703,Entire home/apt,801
165,Nrrebro,55.68681,12.55953,Entire home/apt,652
166,sterbro,55.69819,12.57969,Entire home/apt,998
167,Nrrebro,55.68908,12.54695,Entire home/apt,475
168,Nrrebro,55.69914,12.54843,Entire home/apt,747
169,Valby,55.66497,12.50201,Entire home/apt,971
170,Vesterbro-Kongens Enghave,55.66995,12.53977,Entire home/apt,1019
171,Amager st,55.65163,12.61286,Entire home/apt,550
172,Indre By,55.67876,12.59081,Entire home/apt,1195
173,Amager st,55.66791,12.59909,Entire home/apt,849
174,Nrrebro,55.69116999999999,12.54582,Entire home/apt,815
175,Nrrebro,55.69025,12.55396,Entire home/apt,1161
176,Nrrebro,55.69894,12.54615,Entire home/apt,998
177,Valby,55.66457,12.49643,Entire home/apt,2682
178,Vesterbro-Kongens Enghave,55.67279,12.55987,Entire home/apt,1297
179,Amager Vest,55.66406,12.57825,Entire home/apt,937
180,sterbro,55.70128,12.58901,Entire home/apt,998
181,Indre By,55.68396,12.56636,Entire home/apt,747
182,Indre By,55.69054000000001,12.57163,Entire home/apt,849
183,Vesterbro-Kongens Enghave,55.66982,12.54734,Entire home/apt,577
184,Indre By,55.68473,12.59713,Entire home/apt,978
185,Indre By,55.67646,12.58903,Entire home/apt,1120
186,Amager Vest,55.64684000000001,12.6066,Entire home/apt,1175
187,Amager Vest,55.66628000000001,12.57743,Entire home/apt,550
188,Vesterbro-Kongens Enghave,55.66376999999999,12.55286,Entire home/apt,1100
189,sterbro,55.69435,12.57111,Entire home/apt,1052
190,Nrrebro,55.70571,12.54975,Entire home/apt,502
191,Vesterbro-Kongens Enghave,55.67,12.54761,Private room,367
192,Amager Vest,55.66672,12.58388,Entire home/apt,1202
193,sterbro,55.70259,12.58079,Entire home/apt,1120
194,Nrrebro,55.68613000000001,12.55904,Private room,441
195,Frederiksberg,55.69395,12.53074,Entire home/apt,598
196,sterbro,55.7027,12.57714,Entire home/apt,998
197,Vesterbro-Kongens Enghave,55.67225,12.55653,Entire home/apt,849
198,Frederiksberg,55.67818000000001,12.5391,Entire home/apt,842
199,Amager Vest,55.65742,12.60651,Entire home/apt,1093
200,Frederiksberg,55.67339000000001,12.54096,Entire home/apt,523
201,Amager Vest,55.66809,12.5805,Entire home/apt,849
202,Indre By,55.67903,12.56686,Entire home/apt,896
203,sterbro,55.70862,12.57188,Entire home/apt,1351
204,Vesterbro-Kongens Enghave,55.66943000000001,12.54902,Private room,394
205,Nrrebro,55.69284,12.56096,Entire home/apt,801
206,Vesterbro-Kongens Enghave,55.66711,12.54942,Entire home/apt,652
207,Nrrebro,55.69161999999999,12.54734,Entire home/apt,801
208,Vesterbro-Kongens Enghave,55.67199,12.56057,Entire home/apt,699
209,Indre By,55.67201,12.58874,Entire home/apt,2017
210,Vesterbro-Kongens Enghave,55.66919,12.54572,Entire home/apt,801
211,Indre By,55.69354000000001,12.57524,Entire home/apt,1602
212,Amager Vest,55.64431,12.58917,Entire home/apt,767
213,sterbro,55.70127,12.57648,Entire home/apt,747
214,Frederiksberg,55.68511,12.5365,Entire home/apt,767
215,Amager st,55.66311,12.62596,Entire home/apt,577
216,sterbro,55.70931,12.58497,Entire home/apt,862
217,Frederiksberg,55.67616999999999,12.53907,Entire home/apt,2153
218,Amager st,55.6594,12.60824,Entire home/apt,699
219,Vesterbro-Kongens Enghave,55.66978,12.54095,Entire home/apt,998
220,Vesterbro-Kongens Enghave,55.66934000000001,12.54641,Entire home/apt,849
221,Nrrebro,55.69747,12.55463,Entire home/apt,523
222,Vesterbro-Kongens Enghave,55.67009,12.54754,Entire home/apt,998
223,Amager Vest,55.64573000000001,12.60359,Entire home/apt,441
224,Amager Vest,55.66557,12.57943,Entire home/apt,598
225,sterbro,55.69957,12.58867,Entire home/apt,883
226,Frederiksberg,55.67829,12.55373,Private room,502
227,Vesterbro-Kongens Enghave,55.6645,12.54808,Entire home/apt,903
228,Nrrebro,55.69328,12.54251,Private room,448
229,Amager Vest,55.6601,12.6035,Entire home/apt,570
230,Vesterbro-Kongens Enghave,55.66669,12.55775,Entire home/apt,1861
231,Indre By,55.67733000000001,12.57365,Entire home/apt,1344
232,Vesterbro-Kongens Enghave,55.66891,12.55363,Entire home/apt,1202
233,Nrrebro,55.7016,12.54466,Private room,224
234,Vesterbro-Kongens Enghave,55.67153,12.55848,Entire home/apt,1012
235,Amager Vest,55.66818000000001,12.57803,Private room,448
236,Indre By,55.67135,12.58747,Entire home/apt,951
237,Vesterbro-Kongens Enghave,55.66728000000001,12.55479,Entire home/apt,1202
238,Amager Vest,55.66908000000001,12.58047,Entire home/apt,2614
239,Vesterbro-Kongens Enghave,55.66458000000001,12.54704,Entire home/apt,713
240,Indre By,55.68575,12.57048,Entire home/apt,733
241,Vesterbro-Kongens Enghave,55.66967,12.54559,Entire home/apt,564
242,sterbro,55.71829,12.57385,Entire home/apt,876
243,Vesterbro-Kongens Enghave,55.66894,12.55258,Entire home/apt,964
244,Nrrebro,55.69534,12.54092,Entire home/apt,401
245,Nrrebro,55.69882,12.53749,Private room,353
246,Amager Vest,55.66285,12.5804,Entire home/apt,1100
247,sterbro,55.71055,12.58125,Entire home/apt,801
248,Indre By,55.69085,12.57742,Entire home/apt,1202
249,Nrrebro,55.70156,12.55248,Entire home/apt,699
250,sterbro,55.69807,12.58311,Entire home/apt,998
251,Vesterbro-Kongens Enghave,55.66472,12.55779,Private room,903
252,Frederiksberg,55.68456,12.53908,Entire home/apt,903
253,Nrrebro,55.69804,12.54505,Entire home/apt,1799
254,Bispebjerg,55.70121999999999,12.53247,Entire home/apt,598
255,Vesterbro-Kongens Enghave,55.67015,12.5603,Entire home/apt,747
256,sterbro,55.70479,12.59073,Entire home/apt,502
257,Nrrebro,55.694280000000006,12.5524,Private room,387
258,Indre By,55.68271,12.56382,Entire home/apt,991
259,sterbro,55.69799,12.58075,Entire home/apt,1351
260,Vesterbro-Kongens Enghave,55.66844,12.56198,Entire home/apt,693
261,Frederiksberg,55.67545,12.54779,Entire home/apt,801
262,Amager Vest,55.63448,12.58138,Entire home/apt,699
263,Vesterbro-Kongens Enghave,55.66856,12.55341,Entire home/apt,577
264,Nrrebro,55.69263,12.56702,Entire home/apt,652
265,Nrrebro,55.68564,12.55868,Entire home/apt,801
266,Valby,55.66387,12.50761,Entire home/apt,380
267,Vesterbro-Kongens Enghave,55.66506999999999,12.54842,Entire home/apt,747
268,Frederiksberg,55.67822,12.54624,Entire home/apt,1419
269,Indre By,55.68379,12.56782,Entire home/apt,1181
270,Vesterbro-Kongens Enghave,55.66863000000001,12.54604,Entire home/apt,1005
271,Nrrebro,55.69259,12.56637,Entire home/apt,1100
272,Indre By,55.68823,12.59057,Entire home/apt,1392
273,Frederiksberg,55.69354000000001,12.52408,Entire home/apt,998
274,Vesterbro-Kongens Enghave,55.66942,12.5476,Entire home/apt,747
275,Amager Vest,55.6619,12.57278,Entire home/apt,1100
276,Nrrebro,55.69309000000001,12.5591,Entire home/apt,998
277,Indre By,55.69067,12.57576,Entire home/apt,1311
278,Nrrebro,55.69651999999999,12.54697,Entire home/apt,903
279,Frederiksberg,55.68422,12.54729,Entire home/apt,998
280,Nrrebro,55.68632,12.54828,Entire home/apt,699
281,Amager Vest,55.66305,12.57474,Entire home/apt,1073
282,Nrrebro,55.69778,12.54704,Entire home/apt,944
283,Vesterbro-Kongens Enghave,55.65911,12.54247,Private room,367
284,Vesterbro-Kongens Enghave,55.66338,12.55001,Entire home/apt,747
285,Frederiksberg,55.68404,12.55313,Private room,2003
286,Indre By,55.6705,12.59341,Entire home/apt,1209
287,Frederiksberg,55.67768,12.53788,Entire home/apt,1548
288,Frederiksberg,55.67888000000001,12.5492,Entire home/apt,550
289,Frederiksberg,55.67083,12.53956,Entire home/apt,699
290,Vesterbro-Kongens Enghave,55.66356999999999,12.545,Entire home/apt,652
291,Vesterbro-Kongens Enghave,55.66392,12.55243,Entire home/apt,998
292,Vesterbro-Kongens Enghave,55.66611,12.550999999999998,Entire home/apt,849
293,Amager Vest,55.66215,12.59931,Entire home/apt,502
294,Frederiksberg,55.66958,12.53203,Entire home/apt,1277
295,Vesterbro-Kongens Enghave,55.66718,12.5497,Entire home/apt,1501
296,Nrrebro,55.68512,12.55833,Private room,448
297,Frederiksberg,55.67813,12.54845,Entire home/apt,747
298,Indre By,55.68295,12.57313,Entire home/apt,1596
299,Indre By,55.67466999999999,12.59108,Entire home/apt,401
300,Frederiksberg,55.68137,12.50646,Private room,407
301,Vesterbro-Kongens Enghave,55.6669,12.5503,Entire home/apt,1202
302,Frederiksberg,55.68379,12.5266,Entire home/apt,577
303,Indre By,55.69484,12.58447,Entire home/apt,985
304,Indre By,55.68155,12.5728,Entire home/apt,1249
305,Frederiksberg,55.68388,12.53614,Entire home/apt,421
306,Nrrebro,55.69122,12.54562,Entire home/apt,998
307,Nrrebro,55.69022,12.56099,Private room,380
308,Nrrebro,55.69339,12.54222,Private room,489
309,Nrrebro,55.6917,12.54055,Private room,428
310,Nrrebro,55.69551,12.54094,Private room,428
311,Frederiksberg,55.68439,12.54984,Entire home/apt,1100
312,Indre By,55.6865,12.5896,Private room,747
313,Nrrebro,55.70158000000001,12.54425,Entire home/apt,1100
314,Indre By,55.68427,12.56538,Entire home/apt,312
315,Vesterbro-Kongens Enghave,55.66638,12.53669,Entire home/apt,1202
316,sterbro,55.71435,12.57508,Entire home/apt,1249
317,Amager st,55.64797,12.61369,Entire home/apt,1297
318,Vesterbro-Kongens Enghave,55.66756,12.55435,Entire home/apt,903
319,Indre By,55.67424000000001,12.5911,Entire home/apt,801
320,Valby,55.66745,12.50377,Private room,272
321,Frederiksberg,55.682930000000006,12.5475,Entire home/apt,1222
322,Amager st,55.647830000000006,12.62039,Entire home/apt,699
323,Frederiksberg,55.68431999999999,12.53068,Entire home/apt,849
324,Amager Vest,55.66619,12.59797,Private room,401
325,Nrrebro,55.68719,12.55074,Entire home/apt,903
326,Frederiksberg,55.69349,12.53372,Entire home/apt,998
327,Vesterbro-Kongens Enghave,55.67273,12.55188,Private room,509
328,Nrrebro,55.68935,12.56445,Private room,502
329,Nrrebro,55.70055,12.55064,Entire home/apt,998
330,Nrrebro,55.69872,12.55165,Entire home/apt,835
331,Frederiksberg,55.67396,12.55361,Private room,502
332,Amager Vest,55.64166,12.55479,Entire home/apt,1161
333,Vanlse,55.69604,12.49823,Entire home/apt,747
334,Vesterbro-Kongens Enghave,55.66881,12.54407,Entire home/apt,1195
335,Nrrebro,55.68608,12.55468,Entire home/apt,713
336,Nrrebro,55.69086,12.54252,Entire home/apt,598
337,Vesterbro-Kongens Enghave,55.66578000000001,12.55433,Entire home/apt,951
338,Nrrebro,55.69063000000001,12.5563,Entire home/apt,835
339,Vesterbro-Kongens Enghave,55.66622,12.5518,Entire home/apt,652
340,Amager Vest,55.66616,12.58149,Private room,516
341,Nrrebro,55.69103000000001,12.53951,Entire home/apt,1141
342,Indre By,55.68834,12.57318,Entire home/apt,1120
343,Nrrebro,55.68956,12.54903,Entire home/apt,699
344,Indre By,55.68195,12.56538,Entire home/apt,903
345,Vesterbro-Kongens Enghave,55.66684,12.55262,Private room,502
346,Indre By,55.67457,12.55675,Private room,557
347,Indre By,55.67398000000001,12.59305,Entire home/apt,1195
348,Vesterbro-Kongens Enghave,55.6678,12.54651,Entire home/apt,652
349,sterbro,55.70482,12.58603,Entire home/apt,550
350,Indre By,55.68292,12.56325,Entire home/apt,998
351,Vesterbro-Kongens Enghave,55.66852,12.55763,Entire home/apt,1148
352,Indre By,55.67238,12.59051,Entire home/apt,1602
353,Nrrebro,55.68805,12.56085,Entire home/apt,951
354,Vesterbro-Kongens Enghave,55.66548,12.55526,Private room,496
355,Amager st,55.65294,12.62672,Entire home/apt,502
356,Bispebjerg,55.70788,12.5379,Entire home/apt,570
357,Vesterbro-Kongens Enghave,55.66683,12.55758,Entire home/apt,998
358,Indre By,55.67675,12.58929,Entire home/apt,998
359,Vesterbro-Kongens Enghave,55.66771,12.55421,Entire home/apt,10002
360,Frederiksberg,55.68425,12.52039,Entire home/apt,598
361,Nrrebro,55.69116,12.54432,Entire home/apt,998
362,Nrrebro,55.6888,12.55605,Entire home/apt,1501
363,sterbro,55.70105,12.58561,Entire home/apt,1046
364,Frederiksberg,55.67824,12.54915,Entire home/apt,672
365,Valby,55.66679,12.49391,Entire home/apt,849
366,Vesterbro-Kongens Enghave,55.67204,12.5553,Entire home/apt,903
367,Frederiksberg,55.68436,12.54133,Entire home/apt,502
368,Nrrebro,55.68916,12.56501,Entire home/apt,937
369,Vesterbro-Kongens Enghave,55.66978,12.54823,Entire home/apt,598
370,Indre By,55.67337,12.59483,Entire home/apt,1602
371,Vesterbro-Kongens Enghave,55.669,12.54854,Entire home/apt,1643
372,Indre By,55.68232,12.57403,Entire home/apt,1501
373,Amager st,55.65227,12.6398,Entire home/apt,2200
374,Nrrebro,55.68678000000001,12.55949,Entire home/apt,1501
375,Nrrebro,55.69014,12.56175,Entire home/apt,1148
376,Nrrebro,55.70589,12.55434,Entire home/apt,808
377,sterbro,55.70573,12.58635,Entire home/apt,801
378,Vesterbro-Kongens Enghave,55.66396999999999,12.54823,Entire home/apt,699
379,Nrrebro,55.68832,12.55292,Entire home/apt,550
380,Frederiksberg,55.68022,12.52219,Entire home/apt,801
381,Vesterbro-Kongens Enghave,55.66522,12.55204,Entire home/apt,951
382,Nrrebro,55.68938000000001,12.56362,Entire home/apt,998
383,Indre By,55.67721,12.60415,Entire home/apt,564
384,Indre By,55.67475,12.59641,Entire home/apt,747
385,Amager Vest,55.66464000000001,12.58205,Entire home/apt,699
386,Frederiksberg,55.67853,12.52857,Entire home/apt,652
387,Frederiksberg,55.67144,12.53327,Entire home/apt,998
388,Nrrebro,55.68899999999999,12.5435,Entire home/apt,652
389,Indre By,55.67848000000001,12.58137,Shared room,991
390,Amager Vest,55.66594,12.58143,Entire home/apt,550
391,Indre By,55.67688,12.60036,Entire home/apt,727
392,Vesterbro-Kongens Enghave,55.66711,12.55222,Entire home/apt,747
393,Vesterbro-Kongens Enghave,55.67039000000001,12.55731,Entire home/apt,1100
394,Vesterbro-Kongens Enghave,55.66731,12.54854,Entire home/apt,693
395,Frederiksberg,55.68600000000001,12.53616,Entire home/apt,598
396,Nrrebro,55.69899,12.54734,Entire home/apt,428
397,Nrrebro,55.69068000000001,12.56263,Entire home/apt,598
398,Amager Vest,55.66727,12.57916,Entire home/apt,747
399,Amager st,55.65303,12.62979,Entire home/apt,801
400,Vesterbro-Kongens Enghave,55.67064,12.54664,Entire home/apt,611
401,Amager Vest,55.65804,12.60684,Entire home/apt,1372
402,Indre By,55.6721,12.57727,Entire home/apt,1052
403,Vesterbro-Kongens Enghave,55.66604,12.54313,Entire home/apt,550
404,sterbro,55.69548,12.57233,Entire home/apt,754
405,Indre By,55.6789,12.56922,Entire home/apt,761
406,Nrrebro,55.6904,12.56089,Entire home/apt,672
407,Amager Vest,55.66283000000001,12.57504,Entire home/apt,699
408,Frederiksberg,55.68617,12.53618,Entire home/apt,577
409,Indre By,55.67133000000001,12.59704,Entire home/apt,883
410,sterbro,55.71153,12.55989,Private room,251
411,sterbro,55.69731,12.57581,Entire home/apt,998
412,Nrrebro,55.69778,12.54419,Entire home/apt,652
413,Vesterbro-Kongens Enghave,55.66134,12.56398,Entire home/apt,1351
414,Bispebjerg,55.70434,12.53029,Entire home/apt,978
415,Amager Vest,55.63369,12.58281,Entire home/apt,1148
416,Amager Vest,55.63086,12.57992,Private room,699
417,Amager Vest,55.63351,12.58166,Private room,448
418,Vesterbro-Kongens Enghave,55.66849000000001,12.55001,Entire home/apt,903
419,Vesterbro-Kongens Enghave,55.66493000000001,12.54832,Entire home/apt,353
420,sterbro,55.70671,12.56537,Entire home/apt,638
421,Amager Vest,55.66516,12.57968,Entire home/apt,876
422,Amager Vest,55.66082,12.57254,Entire home/apt,801
423,Amager st,55.65904000000001,12.62808,Entire home/apt,1399
424,Indre By,55.67497,12.58814,Entire home/apt,1358
425,Valby,55.66781,12.50381,Private room,299
426,Vesterbro-Kongens Enghave,55.67019000000001,12.54812,Entire home/apt,951
427,Indre By,55.6762,12.57143,Entire home/apt,1494
428,Frederiksberg,55.68916,12.51746,Entire home/apt,502
429,Vesterbro-Kongens Enghave,55.66702,12.54511,Entire home/apt,903
430,Nrrebro,55.69078,12.55626,Entire home/apt,1501
431,sterbro,55.70315,12.58112,Entire home/apt,1949
432,sterbro,55.69761999999999,12.58165,Entire home/apt,2309
433,Nrrebro,55.69328,12.56028,Entire home/apt,598
434,Frederiksberg,55.67679,12.53188,Entire home/apt,822
435,sterbro,55.70251999999999,12.57697,Entire home/apt,1494
436,Vesterbro-Kongens Enghave,55.64589,12.52627,Entire home/apt,333
437,Nrrebro,55.68451999999999,12.55463,Entire home/apt,598
438,Nrrebro,55.70622,12.55523,Entire home/apt,672
439,Nrrebro,55.69237,12.56502,Entire home/apt,699
440,Nrrebro,55.69138,12.56154,Entire home/apt,1399
441,Indre By,55.67693000000001,12.59957,Entire home/apt,998
442,Nrrebro,55.68554,12.55816,Private room,557
443,Brnshj-Husum,55.6988,12.49954,Entire home/apt,951
444,Amager st,55.66365,12.61191,Entire home/apt,299
445,Nrrebro,55.68891,12.54436,Entire home/apt,1114
446,Vesterbro-Kongens Enghave,55.6729,12.55174,Entire home/apt,978
447,Bispebjerg,55.69811,12.53415,Entire home/apt,849
448,Nrrebro,55.69772,12.54707,Entire home/apt,699
449,Nrrebro,55.68361,12.55796,Entire home/apt,903
450,Amager Vest,55.66392,12.57221,Entire home/apt,598
451,Indre By,55.68456,12.5697,Entire home/apt,1399
