,latitude,longitude,price,neighbourhood_Amager Vest,neighbourhood_Amager st,neighbourhood_Bispebjerg,neighbourhood_Brnshj-Husum,neighbourhood_Frederiksberg,neighbourhood_Indre By,neighbourhood_Nrrebro,neighbourhood_Valby,neighbourhood_Vanlse,neighbourhood_Vesterbro-Kongens Enghave,neighbourhood_sterbro,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
64,55.690419999999996,12.560960000000001,1487,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
65,55.69004,12.54424,815,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66,55.66118,12.60474,2261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
67,55.6946,12.55128,1249,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
68,55.68234,12.564969999999999,788,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
69,55.69628,12.55069,441,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70,55.6701,12.54216,883,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
71,55.69862,12.55194,502,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
72,55.697359999999996,12.54761,564,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
73,55.6714,12.55741,1501,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
74,55.664559999999994,12.59676,747,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,55.66412,12.60994,631,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
76,55.69341,12.54452,849,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
77,55.66648000000001,12.55368,699,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
78,55.670680000000004,12.5441,1324,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
79,55.684309999999996,12.56436,3402,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
80,55.66563000000001,12.504489999999999,849,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
81,55.70018,12.501380000000001,665,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
82,55.69268,12.554860000000001,380,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
83,55.67033000000001,12.55015,747,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
84,55.68691999999999,12.59136,679,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
85,55.68849,12.56033,849,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
86,55.674519999999994,12.5169,448,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
87,55.67555,12.59908,822,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
88,55.67365,12.555810000000001,360,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
89,55.680930000000004,12.559439999999999,1161,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
90,55.6692,12.55777,998,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
91,55.67139,12.55342,801,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
92,55.69238000000001,12.54775,557,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
93,55.67365,12.555810000000001,401,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
94,55.67162,12.547260000000001,1453,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
95,55.63446999999999,12.58868,387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,55.6711,12.54539,448,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
97,55.6802,12.57305,951,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
98,55.6773,12.5469,1718,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
99,55.66696999999999,12.60166,496,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
100,55.686319999999995,12.580630000000001,998,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
101,55.6879,12.54608,1501,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
102,55.65015,12.55016,611,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
